Fatah	NNP
,	AUX
beberapa	NUM
jam	NN
setelah	CW
seorang	NN
anggota	NN
pasukan	NN
keamanan	NN
pimpinan	NN
Hamas	NNP
juga	CW
tewas	VP
karena	CW
ledakan	NN
bom	NN
pinggir	NN
jalan	NN
.	AUX

Lebih	CW
dari	CW
30	NUM
warga	NN
Palestina	NNP
telah	VP
terbunuh	VP
dalam	CW
perang	NN
antara	CW
kelompok-kelompok	NN
Hamas	NNP
dan	CW
Fatah	NNP
yang	CW
berlawanan	VP
,	AUX
sejak	CW
Presiden	NNP
Palestina	NNP
Mahmoud	NNP
Abbas	NNP
bulan	NN
lalu	CW
menyerukan	VP
untuk	CW
dilakukannya	NN
pemilihan	NN
presiden	NN
dan	CW
parlemen	NN
lebih	CW
awal	NN
.	AUX

Pejabat-pejabat	NN
rumah sakit	NN
mengkonfirmasikan	VP
bahwa	CW
aktivis	NN
tersebut	CW
tewas	VP
dalam	CW
serangan	NN
di	CW
Jalur	NNP
Gaza	NNP
utara	NNP
.	AUX

Fatah	NNP
menuduh	VP
pasukan	NN
keamanan	NN
pimpinan	NN
Hamas	NNP
yang	CW
'	AUX
membunuh	VP
'	AUX
aktivis	NN
tersebut	CW
.	AUX

Seorang	NN
juru bicara	NN
bagi	CW
pasukan	NN
pimpinan	NN
Hamas	NNP
tak	CW
bisa	VP
diperoleh	VP
komentar	NN
-nya	NN
mengenai	CW
hal	NN
itu	CW
.	AUX

Para	CW
penduduk	NN
setempat	NN
mengatakan	VP
,	AUX
para	CW
anggota	NN
pasukan	NN
pimpinan	NN
Hamas	NNP
telah	VP
mengepung	VP
rumah	NN
aktivis	NN
tersebut	CW
dan	CW
kemudian	CW
menyerang	VP
-nya	NN
.	AUX

Mereka	NN
mengajukan	VP
pertanyaan	NN
kepada	CW
-nya	NN
berkaitan	VP
dengan	CW
peledakan	NN
bom	NN
pinggir	NN
jalan	NN
.	AUX

Ledakan	NN
bom	NN
meninggalkan	VP
kedua	NUM
anggota	NN
pasukan	NN
pimpinan	NN
Hamas	NNP
itu	CW
dalam	CW
keadaan	NN
kondisi	NN
kritis	JJ
dan	CW
tujuh	NUM
lain	JJ
-nya	NN
yang	CW
menderita	VP
luka-luka	NN
,	AUX
kata	VP
para	CW
pejabat	NN
rumah sakit	NN
.	AUX

Tiga	NUM
orang	NN
yang	CW
berdiri	VP
di	CW
dekat	JJ
kejadian	NN
,	AUX
termasuk	VP
dua	NUM
orang	NN
anak	NN
,	AUX
di	CW
antara	NN
yang	CW
menderita	VP
cedera	JJ
,	AUX
ujar	VP
-nya	NN
menambahkan	VP
.	AUX
